#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-01T20:37:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-01T20:37:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=9999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=I/239/hip_main&-order=I&-out=HIP&-out=Vmag&-out=DEICRS&-out=Plx&-out=B-V&HIPep=HIPep&Erratum=Erratum&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP|Vmag|DEICRS|Plx|B-V
  4422| 4.62|+59.18116582|  15.84| 0.957
  4423| 8.36|+17.95993365|  14.75| 0.631
  4424| 7.81|+28.79826337|   4.86| 0.942
  4425| 9.38|-38.43866167|   7.63| 0.643
  4426| 9.85|-15.78228061|   4.39| 0.652
  4427| 2.15|+60.71674966|   5.32|-0.046
  4428| 8.42|+14.77615765|   1.89| 1.593
  4429| 8.53|+60.09803503|  -1.39| 1.113
  4430| 8.77|-60.57011926|   3.59| 1.157
  4431| 9.12|+10.16588307|   1.61| 1.091
  4432| 8.81|-38.93253390|   0.20| 1.148
  4433| 7.70|+26.33999429|   3.29| 1.467
  4434| 8.76|-34.66567965|   4.56| 0.508
  4435| 8.39|+17.72607351|   3.59| 0.330
  4436| 3.86|+38.49925513|  23.93| 0.130
  4437| 7.84|+60.03317410|   3.35| 0.018
  4438| 8.52|+59.73884201|   6.51| 0.403
  4439| 6.99|-02.72981211|   5.64| 0.292
  4440| 5.56|+60.36284769|   5.31|-0.054
  4441| 8.38|-64.07505203|   5.71| 0.427
  4442| 7.19|-25.36336916|   7.38| 0.124
  4443|11.13|-11.58825278|  41.73| 1.430
  4444| 8.12|-46.86400693|   2.36| 1.496
  4445| 9.30|+07.41163329|   2.39| 1.062
  4446| 6.39|+68.77574214|  16.73| 0.375
  4447| 9.06|+07.54868546|   3.94| 1.205
  4448| 8.99|-51.87554417|  22.95| 1.020
  4449| 6.98|+64.53228799|  -0.14| 0.918
  4450| 9.65|-54.14045751|   9.88| 0.499
  4451| 8.46|+56.24002265|  -0.97| 1.299
  4452| 7.70|+31.89635702|   1.00| 1.673
  4453| 8.39|+00.45264799|   8.13| 0.396
  4454| 9.12|+69.04402238|  41.45| 1.025
  4455| 8.85|-33.86985015|   1.28| 1.012
  4456| 8.87|+61.56687331|   1.70| 0.171
  4457| 7.94|+34.86400595|  11.39| 0.546
  4458|10.25|-19.83284079|   1.05| 0.753
  4459| 8.43|+19.87794594|   8.50| 0.468
  4460|10.01|-67.49629775|   3.08| 0.537
  4461| 9.02|+11.45609127|   7.79| 0.452
  4462| 8.84|-36.43508855|   8.87| 0.517
  4463| 4.40|+23.41775997|  13.44| 0.940
  4464| 7.63|+00.34235300|   1.71| 1.131
  4465| 8.28|+01.36417361|   5.93| 0.277
  4466| 7.14|+54.95247914|   6.73| 0.120
  4467| 7.75|+26.99954131|   3.97| 0.177
  4468|10.77|-51.58429906|  34.40| 1.300
  4469| 9.35|+31.43261727|  -1.89| 1.061
  4470| 8.04|+77.47098642|   7.65| 0.328
  4472| 8.82|+16.34816208|   6.21| 0.395
  4471| 8.47|+25.29256908|  16.66| 0.581
  4473| 9.50|-62.24590709|  51.66| 1.299
  4474| 8.49|-06.11003618|   5.80| 0.990
  4475| 6.44|+61.42193312|   5.67| 0.940
  4476| 8.86|-39.52721423|   3.62| 0.154
  4477| 7.10|+52.23994300|   1.05| 1.650
  4478| 9.45|-01.81556423|  20.88| 0.854
  4479| 7.39|-76.55397974|   6.16| 1.086
  4480| 8.27|+12.42987835|   0.93| 1.273
  4481| 9.21|-22.41985787|   7.62| 0.404
  4483| 9.11|-39.94672933|   5.24| 0.790
  4482|10.00|-39.85850948|  21.29| 0.987
  4484| 8.25|-48.74271397|  10.55| 0.415
  4485| 8.69|+09.51975351|  10.31| 0.482
  4486| 7.02|+21.48625027|   8.41| 1.099
  4487| 9.54|+18.61636431|   3.83| 1.311
  4488| 7.64|-10.47577763|   3.91|-0.042
  4489| 8.74|-14.87556978|  -0.73| 1.021
  4490| 8.65|+37.06284918|   5.99| 0.370
  4491| 8.19|+37.40666619|   3.61| 0.967
  4492| 8.61|-47.56469796|   3.09| 1.039
  4493| 8.61|-41.25642081|  11.16| 0.572
  4494| 8.15|-12.24562419|   0.47| 1.376
  4495| 8.66|+34.16992273|   9.73| 0.454
  4496| 6.92|-18.99863300|   7.64| 0.082
  4497| 8.15|-52.26611373|   4.44| 1.045
  4498|10.35|+36.43839931|   0.83| 0.512
  4499| 8.79|-63.89234066|   5.56| 0.314
  4501| 6.10|+45.83939494|   7.42| 1.028
  4500| 6.97|+01.78558469|   3.16| 1.190
  4502| 8.41|-30.48790488|   2.53| 1.342
  4503| 9.46|+08.21044700|   5.92| 1.029
  4504| 7.99|+02.09380174|   6.58| 0.464
  4506| 7.60|-15.78702995|  11.98| 0.418
  4505| 9.98|-26.22291493|  -1.96| 0.343
  4507| 8.11|+53.57875873|   3.20| 1.446
  4508| 9.57|-28.21863169|   3.55| 0.448
  4509| 7.74|-63.77417538|   2.08| 1.110
  4510| 5.44|+28.99223560|   4.63| 1.076
  4511| 6.56|-01.76597097|   5.19| 1.004
  4512| 7.17|-66.56084352|   3.81| 0.823
  4513| 8.76|-70.45846647|  -0.82| 1.483
  4514| 8.47|-65.77081752|   2.92| 1.289
  4515| 8.32|+12.03890185|   4.41| 0.407
  4516| 8.76|-04.24404018|   6.18| 0.537
  4517| 7.21|+29.52152447|   7.94| 1.246
  4518| 8.71|+05.87180502|   2.67| 1.475
  4519| 7.49|+75.49389094|   6.64| 0.140
  4520| 6.30|+13.69587909|   6.24| 0.895
  4521| 9.39|-15.21635000|  12.49| 0.734
  4522| 8.46|+65.39349644|   3.76| 0.117
  4523| 7.30|+52.13679080|   4.20| 0.110
  4524| 9.03|-70.86921844|   4.20| 0.461
  4525| 7.75|-20.67606559|  14.44| 0.418
  4526| 7.86|+07.61159662|   5.98| 1.269
  4527| 8.24|-68.19313474|   3.50| 1.062
  4528| 8.64|-43.45887244|   5.81| 0.312
  4529| 7.89|+02.48633209|   1.18| 1.475
  4530| 8.48|-22.59564011|   0.38| 1.540
  4531| 8.56|+30.31426655|  13.97| 0.696
  4532| 9.33|+56.43113755|   2.80| 0.150
  4534| 7.39|+37.49953172|   5.47| 0.278
  4533| 9.57|-36.20019404|   4.63| 0.380
  4535| 8.71|+43.85884362|   4.02| 0.191
  4536| 8.18|-57.70050754|  14.75| 0.559
  4537| 8.47|-44.13339858|   9.69| 0.463
  4538| 8.14|+55.82437986|   1.15| 0.020
  4539| 8.89|-21.17953664|   6.90| 0.443
  4541|11.56|-63.39561285|   4.88| 0.404
  4540| 7.07|-15.68279377|  17.11| 0.455
  4542| 6.55|+39.47544065|   5.27| 1.152
  4543| 9.81|-50.01715734|   0.93| 0.277
  4545| 9.36|-37.24941524|   4.65| 0.493
  4544| 9.78|+80.11391909|   8.57| 0.574
  4546| 8.37|-39.96527365|   3.14| 1.109
  4548| 8.49|-64.76164552|   5.67| 0.426
  4547| 7.89|-25.87660591|   6.87| 1.115
  4549| 8.57|-02.57407481|   0.62| 1.233
  4550| 6.97|+70.49636927|   4.19|-0.054
  4551| 8.73|-43.34434727|   3.17| 1.010
  4552| 5.99|+33.95105921|  17.19| 1.000
  4553| 9.14|+39.89190877|   0.77| 1.603
  4555| 7.23|+45.59720588|   6.86| 0.209
  4554| 7.72|+48.21977056|   2.05| 1.375
  4556| 8.40|-27.09239799|   2.90| 1.264
  4557| 8.00|+04.29661180|   3.88| 0.271
  4558| 6.47|+21.40450332|   7.62| 0.089
  4559| 6.74|+06.84432756|   5.00| 1.063
  4560| 8.88|-48.57338228|   2.54| 0.000
  4561| 9.49|-35.48379018|   3.89| 1.147
  4562| 9.15|+49.99798989|   2.66| 0.281
  4563| 6.23|-60.69629569|   5.85| 0.096
  4564| 9.80|+02.59956685|   3.53| 0.574
  4565| 9.01|+19.76489419|   6.31| 0.944
  4566| 7.33|+24.52214763|  10.80| 0.499
  4567| 7.74|+63.71362247|  -0.48| 0.554
  4568| 9.67|-37.06169838|  10.99| 0.450
  4569|11.77|-27.85630511|  76.32| 1.558
  4570| 8.39|+12.12559576|   4.25| 0.924
  4571| 7.36|+26.78584740|   2.14| 1.534
  4572| 5.97|+66.35182541|   8.67|-0.008
  4573| 7.84|+16.31364598|   4.28| 1.000
  4574| 8.92|+22.41997717|   2.04| 0.974
  4575|11.83|+32.53899662|   2.42|
  4576| 9.52|-53.70844434|   9.20| 0.444
  4577| 4.30|-29.35746436|   4.85|-0.154
  4578| 9.86|-34.42408335|   2.08| 1.186
  4579| 8.97|+22.59546896|   4.69| 0.353
  4580| 8.36|+67.44021506|   5.78| 0.700
  4581| 7.58|+44.95626783|   5.63| 0.400
  4582| 7.57|+04.20579338|  16.31| 0.503
  4583| 8.03|+49.17808657|   0.21| 0.014
  4584| 6.84|+47.03660631|   3.74|-0.100
  4586| 7.12|-19.63262935|   2.53| 1.600
  4585|10.80|-30.09942149|   1.06| 0.669
  4587| 5.62|-11.37993895|  10.35| 0.949
  4588| 7.53|-51.26524225|   2.45| 1.419
  4589| 8.70|+37.19275715|   4.29| 1.305
  4591| 8.41|+48.93853885|   0.09| 1.498
  4590| 8.26|-62.45182375|   2.20| 1.579
  4592| 6.57|-05.88261835|  11.03| 1.136
  4593|10.64|+32.10564421|   3.64|
  4594| 8.94|-13.66085663|   5.97| 0.409
  4595| 9.05|-17.48480079|   9.00| 0.516
  4596| 8.83|+20.54382031|   7.28| 1.054
  4597| 9.78|-15.15747092|   7.92| 0.515
  4598|10.04|+21.94461058|  10.40| 0.670
  4599|10.95|-76.58958196|   5.56| 0.678
  4600| 7.75|+52.51950688|   1.64| 0.449
  4601| 8.68|+07.71934560|   8.22| 0.444
  4602|11.36|+26.03035041|  12.04|
  4603| 9.31|-29.40170903|   4.29| 0.200
  4604| 9.95|-26.52762273|   2.69| 0.456
  4605| 8.58|+38.93398311|   6.32| 0.040
  4606| 7.64|-19.32623061|   5.07| 0.940
  4607| 9.21|-43.24679261|   7.57| 0.574
  4608| 6.99|+27.65711844|   2.88| 1.382
  4609| 7.53|-02.45341041|   0.23| 1.618
  4610| 9.50|-23.69120870|   3.01| 0.645
  4611| 9.10|-41.74179904|   5.76| 0.503
  4612| 7.37|+32.45579866|   4.77| 0.177
  4613| 8.00|+39.61875886|  14.47| 0.500
  4614| 8.71|-00.14500041|   2.42| 1.163
  4615| 8.88|+77.46604760|   1.86| 0.181
  4616|10.77|+05.34700355|  -1.38| 0.499
  4617| 7.86|+83.10292417|  21.38| 0.557
  4618| 7.78|-58.40478308|   8.38| 1.085
  4619| 7.65|-00.67452887|  12.60| 0.513
  4620| 8.90|+25.09782426|   3.29| 1.160
  4621| 8.30|+42.85120134|   1.20| 1.489
  4622| 9.33|-73.74886549|   5.13| 0.539
  4623| 8.91|+00.78600450|  -1.60| 0.739
  4624| 7.66|+00.77903236|   2.43| 1.437
  4625| 9.52|-40.99891306|   3.09| 0.529
  4626| 8.55|+40.94219873|   2.18| 0.223
  4627| 8.40|+51.11050996|  -0.77| 1.441
  4628| 7.67|-34.63633106|   3.59| 0.965
  4629| 9.88|+14.12152843|   2.89| 0.533
  4630| 7.53|+40.15518117|   8.93| 0.174
  4631| 9.68|-31.96529292|   3.92| 0.314
  4632|10.49|-16.23658608|   3.22| 0.450
  4633| 8.46|+46.84122356|   0.39| 0.020
  4634| 9.09|+61.70734504|   3.58| 1.205
  4635| 8.93|+72.81388999|   3.85| 0.218
  4636| 8.27|+73.98768208|   2.44| 1.129
  4637| 6.90|+48.96641596|  17.31| 0.410
  4638| 8.05|-75.81460259|   9.67| 0.609
  4639|11.82|+45.40672403|   3.02|
  4640| 8.59|+39.67494449|   3.73| 0.127
  4641| 8.66|-01.19179977|  10.55| 0.765
  4642| 8.60|+00.67076631|   0.63| 1.258
  4643|10.56|-13.97896439|  20.85| 1.086
  4644|10.99|+10.46698501|   4.66| 0.735
  4645| 9.53|-54.13884691|   9.78| 0.817
  4647| 8.22|-04.46087885|  11.92| 0.592
  4646| 8.87|-75.81378301|   8.72| 0.592
  4648| 7.69|-04.32150583|   4.69| 1.004
  4649| 7.51|-31.33618110|   4.76| 1.473
  4650| 8.85|+62.25911903|   8.89| 0.488
  4651| 8.51|+20.63895974|   7.57| 0.728
  4652|11.94|+27.94570035|  -7.16| 1.500
  4653| 8.36|-45.91566576|   2.27| 1.457
  4654| 9.69|-44.20874821|   7.73| 0.748
  4655| 6.14|+06.48323806|   3.07| 1.654
  4656| 8.85|-24.55237935|   2.74| 0.935
  4657| 7.41|-08.32324752|   3.56| 1.179
  4658| 7.39|-49.75064597|   1.30| 1.579
  4659| 9.93|-25.59063199|   8.62| 0.500
  4660| 8.68|+03.30274864|   3.65| 0.388
  4661| 8.85|-05.18399690|   2.70| 1.029
  4662| 9.06|-24.43682018|   4.63| 0.513
  4663| 9.23|-31.27087188|  12.36| 0.737
  4664| 9.17|+28.67828130|   3.21| 1.188
  4665| 8.71|-67.25203702|   1.19| 0.864
  4666|11.89|+15.73713521|   9.12|
  4667| 9.60|-30.42928418|   6.46| 0.500
  4668| 9.26|-57.70087442|  16.85| 0.831
  4669| 8.93|-18.06173995|   2.39| 0.956
  4670| 7.80|+31.85385619|   2.42| 1.271
  4671| 9.36|-56.50143695|   5.32| 0.662
  4672| 7.13|+48.01997649|   2.32|-0.104
  4673| 9.35|-51.34321367|  19.87| 0.821
  4674| 7.09|+60.51000064|   6.89| 0.969
  4675| 5.69|+44.71330426|   7.76|-0.010
  4676| 7.35|-02.01891577|  10.98| 0.460
  4677| 7.62|+02.63298133|   2.64| 1.503
  4678| 9.42|-61.45444880|   4.32| 0.623
  4679| 8.87|+55.29066293|   1.35| 0.071
  4680| 9.22|+58.63572192|   0.30| 0.138
  4681| 9.63|+52.98013380|   2.45| 0.097
  4683| 8.69|+51.38483325|   2.24| 0.157
  4684| 8.03|-70.17678900|   7.15| 0.444
  4682|10.15|-33.01263222|   6.36| 0.467
  4685| 7.56|-50.52413366|   3.39| 1.169
  4686| 9.20|+06.20325934|   9.75| 0.542
  4687| 8.05|+11.93531398|   4.79| 0.402
  4688| 7.28|+47.31852919|   4.07| 1.436
  4689| 7.34|+18.19920433|   6.54| 1.073
  4690| 9.14|+38.29470868|   8.75| 0.448
  4691| 9.96|-25.61460962|  30.39| 1.107
  4692| 9.04|-20.27689028|   9.78| 0.520
  4693|10.59|-72.74328235|   3.76| 0.730
  4694| 8.45|-40.10303196|   2.38| 1.053
  4695| 7.65|+35.69101956|   7.80| 0.177
  4696| 7.25|+17.22641018|  10.89| 1.019
  4697| 7.91|-56.93003091|   4.08| 1.045
  4698| 9.27|-75.31743583|   3.45| 1.065
  4699|10.06|-13.59920106|  23.96| 1.047
  4700|10.71|-22.71507100|   7.87| 0.560
  4701| 9.20|-60.26709348|   2.02| 0.161
  4702| 8.01|-19.38925862|  12.39| 0.657
  4703| 6.83|+21.24915918|   3.19| 1.372
  4704| 6.67|+80.54537407|   9.17| 0.393
  4705| 7.16|+18.69157610|   6.94| 1.099
  4706| 8.96|+23.69187479|  -0.09| 0.978
  4707| 7.77|-12.19560626|   2.75| 1.391
  4708| 8.11|+07.35383219|  13.43| 0.488
  4709| 6.40|+70.98300424|   9.18| 0.135
  4710| 7.21|+37.79150416|   6.74| 0.130
  4711| 8.35|-17.07675713|   6.22| 0.413
  4712| 8.32|+38.57655552|   1.73| 0.976
  4713| 7.12|+58.36413569|   4.52| 0.197
  4714| 8.36|+65.11507298|   1.96| 0.201
  4715| 8.09|+20.29258513|   6.64| 0.992
  4716| 7.34|-25.74902703|   6.83| 0.975
  4717| 8.44|+60.44470777|   2.05| 0.238
  4718| 9.04|-17.08772895|   4.32| 0.470
  4719| 6.99|-36.23823579|   4.33| 1.428
  4720|10.11|-26.63759808|  10.79| 0.760
  4721| 7.88|-18.11905435|   5.78| 0.383
  4722| 9.46|-45.55656329|   3.73| 0.648
  4724| 7.34|-52.58277600|   7.68| 0.402
  4723| 7.22|-20.09021126|   4.29| 1.273
  4725|11.80|-15.95761225|   3.02|
  4726| 6.85|-01.65857625|   1.79| 1.600
  4727| 9.56|+14.84068069|  20.54| 0.877
  4728| 8.36|+09.48687813|   2.65| 0.427
  4729| 9.87|-39.53784483|   9.02| 0.510
  4730| 8.82|-24.27151254|   7.20| 0.422
  4731| 8.97|-57.71909971|   2.99| 1.136
  4732|10.33|-30.75704029|   4.69| 0.486
  4733| 8.27|+18.52563700|   3.10| 0.394
  4734| 9.24|+46.16702703|   3.10| 0.600
  4735| 8.77|-01.02189726|   1.59| 1.332
  4736| 7.40|-09.37357879|   5.57| 0.221
  4737| 7.74|+04.83397162|  11.34| 0.543
  4738| 8.98|+02.58404828|   5.03| 0.564
  4739| 9.56|-24.42391700|  10.44| 0.555
  4740|10.76|+62.92377550|  12.07| 0.745
  4741| 9.46|-55.28092978|   3.14| 1.212
  4742| 7.68|+36.65648079|  11.92| 0.876
  4743| 9.69|-38.49120271|   4.10| 0.939
  4744| 7.67|+50.87903060|   3.29|-0.046
  4745| 8.32|-46.34317819|   2.14| 1.506
  4746|10.11|-70.19131855|  -0.34|
  4747| 7.34|-04.64826368|  24.76| 0.547
  4748| 9.40|-32.71788545|   4.68| 1.000
  4749| 8.62|+28.99737472|  14.22| 0.756
  4750|10.08|-38.04165737|  10.89| 0.567
  4751| 8.26|+17.83810691|   8.11| 0.409
  4752| 8.94|+08.76958555|  10.96| 0.762
  4753| 8.82|-24.74819135|   3.49| 0.541
  4754|10.65|+16.37301339|   6.62| 0.540
  4755| 8.11|+60.35850979|   5.65| 0.520
  4756| 8.27|-18.83980686|   1.48| 1.388
  4757| 8.47|+76.85794889|   4.18| 0.321
  4758| 8.22|+54.58844214|   0.21| 0.108
  4759| 8.84|+03.42974101|   1.38| 1.009
  4760| 9.10|+55.39593257|   1.06| 0.082
  4761| 7.95|+26.47299584|   1.76| 1.631
  4762| 9.67|-51.82144550|   2.45| 1.249
  4763| 8.10|+08.03397342|   3.04| 1.022
  4764| 9.43|-45.29967671|  16.47| 0.668
  4765| 8.14|+11.18051570|   2.53| 1.068
  4766| 7.66|+52.05533548|   3.87| 0.034
  4767| 9.34|-28.88454755|   3.04| 0.856
  4768|11.42|-72.29197897|  -6.63| 0.041
  4769|12.63|-33.71258608|  11.17|-0.241
  4770| 5.59|-38.91664868|   5.19| 1.185
  4771| 6.86|+45.45211529|   6.50| 0.897
  4772| 6.91|-60.86038649|  22.23| 0.650
  4774| 8.10|-16.29453976|   8.78| 0.410
  4773|13.27|-72.28840663|  -6.63|
  4775| 7.87|+11.91270120|  13.85| 0.558
  4776| 7.66|-33.35992239|   1.53| 1.405
  4777| 9.09|-05.32028769|   7.29| 0.601
  4778| 7.53|+08.45070911|   1.32| 1.570
  4779| 9.09|+30.63829137|   4.11| 0.386
  4780| 8.93|-40.43263677|   4.14| 0.353
  4781| 8.78|+61.04324179|   6.93| 0.429
  4782| 9.50|+66.43771499|   1.51| 0.255
  4783| 8.85|+35.57872312|   5.93| 0.516
  4784| 8.47|-53.57624254|   2.28| 1.537
  4785| 7.87|+18.53724321|   2.06| 0.982
  4786| 6.48|+49.54422654|   3.54| 1.099
  4787| 8.79|+39.63148986|   3.00| 0.293
  4788| 8.96|-09.43002671|   7.52| 0.574
  4789| 6.67|+69.35852805|   2.80| 0.019
  4790| 8.86|+05.13454264|   2.90| 1.138
  4792| 8.91|+53.82324472|   2.14| 1.072
  4791| 9.13|-12.40623856|   1.79| 1.259
  4793| 7.76|-71.54945038|   5.33| 1.095
  4794| 6.61|-38.21455968|  13.28| 0.905
  4795| 8.95|-00.32034019|   8.28| 0.473
  4796| 7.22|-06.79952311|   2.85| 1.618
  4797| 8.19|+35.99540532|   5.84| 1.085
  4798| 8.85|+55.21288333|   0.72| 0.836
  4799| 9.66|-30.93739073|   3.53| 0.470
  4800| 7.77|+70.52135177|   4.14| 0.399
  4801| 6.47|-16.26535068|  11.76| 1.184
  4802| 8.49|-62.16231817|   6.95| 0.456
  4803| 8.42|+31.08050316|   1.43| 1.218
  4804| 7.75|+07.30529931|   6.33| 0.860
  4805| 8.41|-53.31936055|   5.88| 0.341
  4806| 7.83|+09.74593446|   7.81| 0.954
  4807| 7.94|-46.21563180|  13.98| 0.407
  4808| 8.94|-03.60082439|   1.65| 1.157
  4809| 6.71|+25.29224974|  13.94| 0.783
  4810| 8.90|+68.92454756|   6.08| 0.459
  4811| 6.77|+57.81670190|   1.79| 0.280
  4812| 7.73|+47.70538818|  11.21| 0.389
  4813| 8.87|+57.76476909|   2.95| 1.300
  4814|10.14|-14.96475614|   2.50| 0.516
  4815| 8.23|-19.41895927|  16.58| 0.626
  4816| 8.19|+63.60566086|   4.73| 0.420
  4817| 8.12|-23.38756388|   5.94| 1.172
  4818| 8.39|-53.15831499|   2.57| 1.050
  4819| 9.75|-25.88686413|   4.53| 0.354
  4820| 8.03|+51.04526351|   6.42| 0.469
  4822| 8.70|-65.65403118|   4.63| 0.877
  4821| 8.60|-14.13105117|   5.09| 0.448
  4823| 8.90|+10.08974840|   4.39| 0.200
  4824|10.49|-09.88437211|  32.06| 1.226
  4825| 7.60|+02.52590452|   9.44| 0.492
  4826| 8.44|-40.21404447|   9.13| 0.289
  4827| 8.98|-41.54450842|   1.08| 1.257
  4828| 8.12|+59.54579394|   4.45| 0.436
  4829| 6.12|-57.00242929|   8.86| 0.935
  4830| 8.33|-49.65675481|  10.90| 0.598
  4831| 9.61|-47.39065436|   6.01| 0.523
  4833| 8.27|-19.66954171|  12.50| 0.577
  4832| 7.55|+07.94043803|   4.50| 1.088
  4834| 6.71|+56.32870093|   6.94| 1.109
  4836| 9.07|-49.72894946|   6.72| 0.543
  4835| 8.10|-21.60904418|   3.13| 1.107
  4837| 8.81|-31.62316668|   5.55| 0.511
  4838| 8.64|+30.16298924|   2.92| 1.044
  4839| 7.79|-45.17203060|   5.54| 0.334
  4840| 9.13|+34.45567908|   2.03| 1.206
  4841| 8.82|+05.86663381|   6.68| 0.525
  4842| 7.79|-10.66426660|   2.20| 1.357
  4843| 6.90|+81.87558833|   4.84| 0.010
  4844| 6.48|+51.03497045|   5.16| 0.122
  4845|10.06|-10.42342915|  46.22| 1.365
  4846| 9.55|+14.16793309|   0.38| 1.389
  4847| 8.62|-56.25207660|   2.91| 0.918
  4848| 9.66|-42.12351323|  11.50| 0.690
  4849| 8.16|+05.06090960|  46.61| 1.008
  4850| 7.79|-44.09956205|   3.69| 1.157
  4851| 9.93|+42.15587900|   0.59| 0.094
  4852| 5.50|-31.55204219|  14.39| 0.083
  4853| 9.00|+39.62705351|  -0.32|-0.033
  4854| 9.34|-08.02558714|   0.70| 1.171
  4855| 7.91|-21.61050013|  31.35| 0.799
  4857| 8.49|+48.49036525|   7.71| 0.450
  4856| 9.98|+71.68074123| 122.77| 1.501
  4858| 7.08|+08.82160415|   9.25| 0.287
  4859| 9.95|+06.99857899|   6.35| 0.820
  4860|10.08|+25.68645843|   7.65| 0.831
  4861| 9.38|-48.20116801|   2.68| 0.068
  4862| 8.37|+79.40331221|   1.17| 0.282
  4863| 7.92|+39.47562100|   6.85| 0.305
  4864| 8.46|-57.34137617|  15.30| 0.619
  4865| 8.55|+05.76502566|   5.05| 0.302
  4866| 8.91|+14.25201660|   0.22| 1.002
  4867| 9.02|-34.37004818|   3.68| 0.960
  4868| 6.88|+27.74793166|  22.39| 0.448
  4869| 7.24|-77.55090575|   1.96| 1.390
  4871| 7.83|+59.28681145|   1.92| 1.481
  4870| 9.37|-62.82356798|   6.49| 0.772
  4872| 9.56|+62.34482783|  99.44| 1.463
  4873| 8.58|-59.19270128|   5.13| 1.290
  4874| 9.84|-25.30834160|  22.04| 0.919
  4875| 7.39|+52.85092821|   1.54| 0.033
  4877| 9.93|-61.57150856|  18.15| 0.859
  4876| 9.64|-35.69337191|   5.79| 0.519
  4878| 6.83|+09.13301281|  16.55| 0.498
  4879| 6.25|-65.45611076|   4.06| 1.634
  4880| 8.69|-63.98449550|   2.19| 1.126
  4881| 8.57|+35.61082514|   2.27| 0.818
  4882| 7.70|-47.28725845|  20.35| 0.591
  4883| 9.07|+42.82287613|   1.75| 1.705
  4884| 9.40|+11.48011202|   5.37| 0.432
  4885| 9.13|-40.01696096|   6.73| 0.526
  4886| 9.52|+02.22823592|  11.43| 0.770
  4887| 8.54|+45.42530390|   6.06| 0.397
  4888| 8.02|+47.69875023|   4.70| 0.070
  4889| 5.50|+31.80433674|   7.87|-0.043
  4890| 5.39|-46.39733801|  13.86| 0.900
  4891| 7.83|+07.50077913|   1.23|-0.018
  4892| 8.52|-37.31592004|  16.88| 0.572
  4893| 7.21|+26.29933494|  14.49| 0.406
  4894| 7.25|+62.60907390|   3.65| 0.914
  4895|10.31|-59.77993106|  12.67| 0.739
  4896| 9.40|-38.57210592|   9.99| 0.598
  4897| 8.80|+60.12680841|   2.51| 0.170
  4898| 8.19|-56.05466531|   3.68| 1.138
  4900|10.81|+47.04761136|  24.14| 1.470
  4899| 8.40|-37.28427683|   2.56| 1.019
  4901| 7.80|+29.98613198|   2.77| 1.208
  4902| 6.84|+51.79810649|   0.89|-0.019
  4903| 5.95|+41.34519861|   9.49| 0.161
  4904| 8.29|+64.83633307|  14.90| 0.543
  4905| 8.49|-51.82286288|   2.80| 1.005
  4906| 4.27|+07.89007256|  17.14| 0.952
  4907| 7.67|+69.22742039|  38.73| 0.756
  4908| 8.16|+33.32312005|   0.89| 1.565
  4909| 8.52|-09.86127874|  18.29| 0.649
  4910| 8.61|+59.65646087|   2.90| 1.337
  4911| 6.46|+47.37619549|   9.68| 0.248
  4912| 8.56|+16.13527205|   2.67| 1.040
  4913| 8.44|+43.33934800|   2.82|-0.004
  4914| 5.40|-04.83635047|   7.95| 1.106
  4915| 8.05|+13.04881125|   2.55| 1.078
  4916| 8.03|+70.32190278|   3.00| 0.115
  4917| 8.95|-45.88643611|   8.88| 0.625
  4918| 7.39|+53.14043205|   0.43| 1.530
  4919| 8.09|+47.85477545|   1.04| 0.013
